date,year,day_of_year,region,latitude,longitude,elevation,rainfall_mm,temperature_c,humidity_percent,wind_speed_kmh,soil_wetness
2018-01-14,2018,14,Jharkhand,23.7957,23.7957,423.4,0.0,9.038888888888891,41.51,8.143260399999999,0.04
2018-01-14,2018,14,Karnataka,15.1394,76.9214,500.48,0.0,24.922222222222224,48.11,8.143260399999999,0.25
2018-01-14,2018,14,Odisha,23.7957,86.4304,278.56,0.0,12.3,59.35,6.485640200000001,0.7
2018-01-15,2018,15,Chhattisgarh,21.6289,85.5811,341.47,0.0,16.15,51.49,6.0511184,0.55
2018-01-15,2018,15,Jharkhand,23.7957,23.7957,423.4,0.0,10.16111111111111,56.21,8.931837,0.04
2018-01-15,2018,15,Karnataka,15.1394,76.9214,500.48,0.0,25.272222222222222,47.56,7.7087386,0.25
2018-01-15,2018,15,Odisha,23.7957,86.4304,278.56,0.0,13.299999999999999,57.84,6.6626676,0.69
2018-01-16,2018,16,Chhattisgarh,21.6289,85.5811,341.47,0.0,17.38888888888889,46.0,4.2808444,0.55
2018-01-16,2018,16,Jharkhand,23.7957,23.7957,423.4,0.0,10.527777777777779,49.79,6.0189316,0.04
2018-01-16,2018,16,Karnataka,15.1394,76.9214,500.48,0.0,25.08888888888889,43.26,5.793624,0.24
2018-01-16,2018,16,Odisha,23.7957,86.4304,278.56,0.0,14.049999999999999,51.69,5.3591022,0.69
2018-01-17,2018,17,Chhattisgarh,21.6289,85.5811,341.47,0.0,16.93888888888889,49.11,3.8946028,0.55
2018-01-17,2018,17,Jharkhand,23.7957,23.7957,423.4,0.0,10.322222222222221,50.85,7.4512442,0.04
2018-01-17,2018,17,Karnataka,15.1394,76.9214,500.48,0.0,23.761111111111106,43.33,6.7753214,0.24
2018-01-17,2018,17,Odisha,23.7957,86.4304,278.56,0.0,13.16111111111111,56.55,5.5361296,0.69
2018-01-18,2018,18,Chhattisgarh,21.6289,85.5811,341.47,0.0,16.822222222222223,42.63,4.0394434,0.54
2018-01-18,2018,18,Jharkhand,23.7957,23.7957,423.4,0.0,10.088888888888887,39.86,7.24203,0.04
2018-01-18,2018,18,Karnataka,15.1394,76.9214,500.48,0.0,22.672222222222224,42.86,8.8996502,0.23
2018-01-18,2018,18,Odisha,23.7957,86.4304,278.56,0.0,13.238888888888887,51.55,6.0833052,0.69
2018-01-19,2018,19,Chhattisgarh,21.6289,85.5811,341.47,0.0,17.36111111111111,42.53,3.9267895999999998,0.54
2018-01-19,2018,19,Jharkhand,23.7957,23.7957,423.4,0.0,9.561111111111112,42.02,8.2398208,0.04
2018-01-19,2018,19,Karnataka,15.1394,76.9214,500.48,0.0,21.900000000000002,41.03,6.8718818,0.23
2018-01-19,2018,19,Odisha,23.7957,86.4304,278.56,0.0,14.277777777777779,56.3,6.0189316,0.68
2018-01-20,2018,20,Chhattisgarh,21.6289,85.5811,341.47,0.0,18.649999999999995,47.45,3.9911632,0.53
2018-01-20,2018,20,Jharkhand,23.7957,23.7957,423.4,0.0,9.988888888888887,33.34,9.9296278,0.04
2018-01-20,2018,20,Karnataka,15.1394,76.9214,500.48,0.0,21.861111111111107,38.75,5.9062778,0.23
2018-01-20,2018,20,Odisha,23.7957,86.4304,278.56,0.0,15.872222222222222,54.17,6.5822006,0.68
2018-01-21,2018,21,Chhattisgarh,21.6289,85.5811,341.47,0.0,18.449999999999996,50.03,2.735878,0.53
2018-01-21,2018,21,Jharkhand,23.7957,23.7957,423.4,0.0,10.050000000000002,32.81,11.6999018,0.04
2018-01-21,2018,21,Karnataka,15.1394,76.9214,500.48,0.0,21.811111111111114,43.97,7.805299,0.22
2018-01-21,2018,21,Odisha,23.7957,86.4304,278.56,0.0,14.161111111111113,59.34,5.5361296,0.68
2018-01-22,2018,22,Chhattisgarh,21.6289,85.5811,341.47,0.0,17.58888888888889,57.79,3.379614,0.53
2018-01-22,2018,22,Jharkhand,23.7957,23.7957,423.4,0.0,10.122222222222222,53.77,8.7065294,0.04
2018-01-22,2018,22,Karnataka,15.1394,76.9214,500.48,0.0,22.12222222222222,45.98,7.2742168,0.22
2018-01-22,2018,22,Odisha,23.7957,86.4304,278.56,0.0,14.57222222222222,50.49,5.874091,0.67
2018-01-23,2018,23,Chhattisgarh,21.6289,85.5811,341.47,0.0,17.672222222222224,57.04,4.1360038,0.52
2018-01-23,2018,23,Jharkhand,23.7957,23.7957,423.4,0.0,10.699999999999998,57.78,8.143260399999999,0.04
2018-01-23,2018,23,Karnataka,15.1394,76.9214,500.48,0.0,23.461111111111116,47.18,5.3269154,0.22
2018-01-23,2018,23,Odisha,23.7957,86.4304,278.56,0.0,15.650000000000002,53.98,4.6831794,0.67
2018-01-24,2018,24,Chhattisgarh,21.6289,85.5811,341.47,0.0,18.072222222222223,63.33,5.2142616,0.52
2018-01-24,2018,24,Jharkhand,23.7957,23.7957,423.4,0.0,11.561111111111112,60.01,8.7869964,0.04
2018-01-24,2018,24,Karnataka,15.1394,76.9214,500.48,0.0,23.67777777777778,37.67,6.0511184,0.22
2018-01-24,2018,24,Odisha,23.7957,86.4304,278.56,0.0,15.872222222222222,65.19,7.3064036,0.67
2018-01-25,2018,25,Chhattisgarh,21.6289,85.5811,341.47,0.0,17.9,59.02,3.9911632,0.51
2018-01-25,2018,25,Jharkhand,23.7957,23.7957,423.4,0.0,9.53888888888889,58.43,14.001257999999998,0.04
2018-01-25,2018,25,Karnataka,15.1394,76.9214,500.48,0.0,23.22222222222222,31.73,5.9384646,0.21
2018-01-25,2018,25,Odisha,23.7957,86.4304,278.56,0.0,15.577777777777776,62.34,6.195959,0.66
2018-01-26,2018,26,Chhattisgarh,21.6289,85.5811,341.47,0.0,17.800000000000004,48.09,3.9911632,0.51
2018-01-26,2018,26,Jharkhand,23.7957,23.7957,423.4,0.0,6.738888888888891,50.76,7.740925399999999,0.04
2018-01-26,2018,26,Karnataka,15.1394,76.9214,500.48,0.0,22.800000000000004,40.73,6.3729864,0.21
2018-01-26,2018,26,Odisha,23.7957,86.4304,278.56,0.0,14.122222222222224,59.9,6.6304808,0.66
2018-01-27,2018,27,Chhattisgarh,21.6289,85.5811,341.47,0.0,17.561111111111114,50.14,4.7958332,0.51
2018-01-27,2018,27,Jharkhand,23.7957,23.7957,423.4,0.0,7.427777777777777,46.11,7.628271600000001,0.04
2018-01-27,2018,27,Karnataka,15.1394,76.9214,500.48,0.0,23.41111111111111,40.91,5.5039428,0.21
2018-01-27,2018,27,Odisha,23.7957,86.4304,278.56,0.0,14.938888888888888,48.38,6.7753214,0.66
2018-01-28,2018,28,Chhattisgarh,21.6289,85.5811,341.47,0.0,17.16111111111111,49.25,4.2164708,0.5
2018-01-28,2018,28,Jharkhand,23.7957,23.7957,423.4,0.0,8.850000000000001,48.9,11.2331932,0.04
